name,bPTP1
SC_bor_L0063_COIF,MOTU_5
SC_bor_L0086_COI,MOTU_5
SC_bor_L0117_ANOSCOIF,MOTU_5
SC_bor_L0224_COI,MOTU_5
SC_bor_L0899_COIF,MOTU_5
SC_bor_L1176_COIF,MOTU_5
SC_bor_L1177_COIF,MOTU_5
SC_dis_B022_COI,MOTU_12
SC_dis_B023_COI,MOTU_12
SC_dis_B024_COI,MOTU_12
SC_dis_B025_COI,MOTU_12
SC_dis_B026_COIF,MOTU_12
SC_dis_B027_COIF,MOTU_12
SC_dis_L236_COI,MOTU_4
SC_dis_L237_COI,MOTU_4
SC_dis_L239_COIF,MOTU_4
SC_dis_L242_COIF,MOTU_4
SC_dis_L260_COI,MOTU_4
SC_dis_L261_COIF,MOTU_4
SC_dis_L262_COI,MOTU_4
SC_dis_L263_COI,MOTU_4
SC_dis_L264_COI,MOTU_4
SC_dis_L265_COIF,MOTU_4
SC_fas_B011_COI,MOTU_2
SC_fas_L0544_COIF,MOTU_2
SC_fas_L0629_COIF,MOTU_2
SC_fas_L0650_COIF,MOTU_2
SC_fas_L082_COI,MOTU_2
SC_fas_L0936_COIF,MOTU_2
SC_fas_L0951_COI,MOTU_2
SC_fas_L0968_COIF,MOTU_2
SC_fas_L259_COIF,MOTU_2
SC_fas_L541_COI,MOTU_2
SC_fas_L542_COI,MOTU_2
SC_fas_L626_COI,MOTU_2
SC_fas_L698_COI,MOTU_2
SC_fas_L918_COI,MOTU_2
SC_int_B014_COI,MOTU_10
SC_int_B015_COI,MOTU_10
SC_int_L012_COIF,MOTU_10
SC_int_L0217_COI,MOTU_10
SC_int_L1201_COIF,MOTU_10
SC_int_L214_COI,MOTU_10
SC_int_L219_COIF,MOTU_10
SC_int_L372_COI,MOTU_10
SC_jac_L546_COI,MOTU_7
SC_kne_B012_COI,MOTU_8
SC_kne_L0857_COIF,MOTU_8
SC_kne_L0866_COIF,MOTU_8
SC_kne_L270_COIF,MOTU_8
SC_kne_L361_COI,MOTU_8
SC_kne_L363_COI,MOTU_8
SC_kne_L365_COI,MOTU_8
SC_nas_B016_COI,MOTU_3
SC_nas_B017_COI,MOTU_6
SC_nas_B018_COI,MOTU_6
SC_nas_B019_COI,MOTU_3
SC_nas_L0926_COIF,MOTU_6
SC_nas_L1066_COI,MOTU_3
SC_nas_L1093_ANOSCOIF,MOTU_3
SC_nas_L1099_ANOSCOIF,MOTU_3
SC_nas_L1100_ANOSCOIF,MOTU_3
SC_nas_L1103_ANOSCOIF,MOTU_6
SC_nas_L1111_ANOSCOIF,MOTU_3
SC_nas_L1178_FISHF,MOTU_6
SC_nas_L1179_COIF,MOTU_14
SC_nas_L243_COI,MOTU_3
SC_nas_L244_COIF,MOTU_3
SC_nas_L245_COIF,MOTU_3
SC_nas_L889_COI,MOTU_6
SC_pla_B135,MOTU_7
SC_pla_B136,MOTU_7
SC_pla_B137,MOTU_7
SC_pla_B138,MOTU_7
SC_pla_B139,MOTU_7
SC_sco_B156_COI,MOTU_11
SC_sco_B214,MOTU_11
SC_sco_L0906_COIF,MOTU_11
SC_sco_L905_COI,MOTU_11
SC_vit_L0613_COIF,MOTU_9
SC_vit_L0750_COIF,MOTU_13
SC_vit_L100_COI,MOTU_1
SC_vit_L197_COIF,MOTU_1
SC_vit_L205_COIF,MOTU_1
SC_vit_L206_COIF,MOTU_1
SC_vit_L207_COI,MOTU_1
SC_vit_L208_COIF,MOTU_1
SC_vit_L209_COIF,MOTU_1
SC_vit_L380_COI,MOTU_1
SC_vit_L558_COI,MOTU_9
SC_vit_L733_COIF,MOTU_13
